description,pallets,weight,cube
KRAFT DAIRY,38,36059.51,1520.86
sacks & bags,1,363,14
hardware   articles,1,804,67
trays,7,4180,607
trays,10,3400,866
coca cola,10,20628.33,895
FROZEN PRODUCT,3,2137,110
CHARCOAL,12,10790,717
QUINOA,2,589,46
CROUTONS ,5,1553,75
cheese,12,17319.4,847
sugar   substitute,2,1177,76
cofee filter,3,1141,200
cereals,2,1847,98
master  batch blue,2,2721,120
sauces,3,2888,82
CHEESE  PARMESAN,27,26871.12,1100
cheese,32,26141.67,1200
GENERAL CARGO,12,2280,864
home articles,1,65,18
paper towel ,30,13778,2530
GENERAL CARGO,22,6147,1959
GENERAL CARGO,1,1925,17
GENERAL CARGO,1,975,31
kraft  grocery,26,27343.64,1015.49
dairy foods,4,3092,268
kraft grocery,21,32162,1068
juice,18,42304,980
cheese mozzarella,17,33595.72,619.44
kraft grocery,27,40827,1534
ICB IS NOT BUTTER,4,5662.98,194
seasoning,2,1246,97
kraft  grocery,28,31112,1098
cream cheese,3,5910,180
GRATED PARMESAN,5,3977.19,212.12
hba/hbc,1,215,49
YOGURT ALL KIND,12,12704,1100
SEASONING`,2,2587,98
GENERAL CARGO,1,1080,43
YO CRUNCH ,2,1485,35
DRINKS,6,7810,210
YO KIDS YOGURT,1,1938,51
BAILEY,1,864,45
YOGURT,5,4921,239
KRAFT DAIRY,26,18651.89,784.58
CUTLERY,3,6928,213
GRANOLA,1,206,19
printer ink,1,140,13
parkay,3,4139.1,145.84
fresh meat ,3,5709,227
ac motor ,1,139,14
PAPEL FILTRO,1,455,63
GENERAL CARGO,2,705,131
ANCO CHEESE,4,3006,108
FROZEN FOODS,19,26569,845
chcocolates,5,6877.5,185
olives,7,8353,319
cherries,5,2145,42
DRY GROCERY,14,9147,716
hbc,1,649,57
hbc/hba,3,2250,202
hbc/hba,1,977,59
detergent,2,1145,31
hbc/hba,2,550,29
artificial bnvsausages,4,3554,258
DRY GROCERY,27,40442.36,1516.81
yoguert non fat,6,4942,102
"cottage , sour cream",2,2024.16,56
greek yogurt,8,4519,489
frozen nfish,4,5376.7,309
kraftd dry,20,18256.34,661.46
sanitation nsystem,2,640,53
chikcen broth,4,9500,200
hardware articles (I),1,1805,47
Aloutte,3,2336.38,153
SILICA,6,3838,240
DRY GROCERY,8,5424,548
cello,3,2062.67,53
FRESH MEAT,6,13169.6,423
dry bvgrocery,32,31781.32,1301.07
roller  convellor,1,328,50
FIXTURES,6,1501,442
fondant,4,7032,257
YOGURT,12,15764,651.74
ACIDO  SUFITO,1,1062,41
FROZEN,11,19650.25,598
YOGURT ,4,3520,69
CP FROZEN,1,1221,69
condiment,14,9574,1023
oscar  mayer,4,3947.09,177.84
plastic film,14,20770,560
AG  dry food,7,3789,320
indian river,1,1475,70
yogurt,5,4921.5,365
FROZEN PRODUCT,6,4906,320
dry supplies,1,762,71
AG REF,11,3776,741
cheese,38,40825.58,1514.77
AG  EDTERGENT,2,1723,98
ag DRY,12,4520,897
frozen product,3,3459,227
general  product,1,405,31
electrp domestics,1,1066,80
parmesan cheese,2,953.38,50.73
ICE CREAM NEAPOLITAN LIGHT PAIL,3,6750,237.07
ICE CREAM VANILLA LIGHT PAIL,1,2250,79
ICE CREAM STRAWBERRY SWIRL LIGHT PAIL,2,4500,158.05
ICE CREAM CHOCOLATE LIGHT PAIL,1,2250,79.02
ICE CREAM VANILLA BEAN PREM SCR,2,4152,180.06
ICE CREAM STRAWBERRY PREM SCR,2,4152,180.06
ICE CREAM COOKIES & CREAM PREM SCR,2,4152,180.06
ICE CREAM CHOCOLATE PREM SCR,1,2076,90.03
ICE CREAM BEAR FOOT BROWNIE PREM SCR,2,4152,180.06
plastic  cups,7,4606,204
cocnut & almond/pistachio,1,600,44
artificial sausages,2,788,82
DRY GROCERY,3,1560,213
baskin robins ,5,7049,394
parkay products,4,5485.26,157.22
plastic film,14,8245,760
plastic film,3,3394,173
water treatment ,1,678,18
OVEN MITTS,1,223,25
meat,5,6842.84,393
printer  ink,1,140,11
raft dry,21,23403.72,1074.55
kraft dairy,41,40604.39,1583.45
soymilk almond milk,18,30672,800
cake yellow ,1,925,42
coconut and vanilla ic cream,1,600,44
GENERAL CARGO,3,1579,100
GENERAL CARGO,4,699,396
PERISHABLE ,8,10240,417
SABRA AND YOGURT,7,5955.44,140
truckmax,1,575,80
GENERAL CARGO,10,6953,598
iced tea,5,4933,272
pet food,14,12161.4,300
fresh meat,3,6190.4,142
yogurt,19,19277,772
almond milk,2,2400,114
oscae mayer,4,5281,239
parmesano cheese,6,4551.97,243.49
frick oil,1,937,41
kraft dairy,32,32308.66,1333.11
labels (I),10,15834,622
industrial supplies,1,275,33
hign density ,1,2269,62
parkay products,4,4852.38,145.3
GENERAL CARGO,1,1117,52
coriander and celery,1,1380,44
tropic,1,2542,62
DRY GROCERY,36,23968.25,1618
CHOCOLATE ,2,1239,146
PLASTIC ARTICLES ,2,795,198
fresh meat,6,10290,366
Christmas Decoration ,1,85,24
labels,2,3030,115
buckley farms,2,3456,124
ink,1,213,13
grocery,9,12387.7,516.46
Miller GD 6 Pack Baskets,1,360,17
GENERAL CARGO,2,2712.24,280
sauces,3,5008,101
PACKAGING MATERIALS,1,385,13
welch,9,8662,613
pape towel,28,8224,1200
plasric films,8,13856,328
grocery,35,36830.64,1302.35
tofu ,2,3330,126
tortilla,25,19337.25,1203
yogurt  light,6,4942,326
greek yogurt,5,4451.46,102
cottage ,2,2024,65
aerosol,1,581.25,21
generalc argo,2,391,88
meat,6,9247.2,326
vanilla & cookie,1,600,44
GENERAL CARGO,5,1450,289
GENERAL CARGO,1,225,9
GENERAL CARGO,1,232,52
GENERAL CARGO,2,604,111
textiles,2,736,152
frozen product,4,3786,307
mops and bruishes,7,2280,267
yogurt all kind,12,13680,1123
tea (I),4,495,111
CATRIGE FOR PRINTER,1,210,12
gen merch,1,285,11
formaggio,1,721,106
kefir,1,3001,74
almond milk,2,1849,88
land o frost,2,1173,106
office and school supplies,1,605,29
dry,8,9457,453
belgio,1,895,45
YO KIDS,2,1938,145
FAGE,2,1418,102
BELGIO,1,240,65
YO BABY YOGURT,3,1485,142
JUICE,4,7810,201
YOGURT,5,4921,206
FROZEN PRODUCTS,4,3370,355
DRY PRODUCT,8,9783,422
GROCERY STORE ,5,2938,209
GROCERY STORE,3,1065,43
CORE POWER,1,1208,62
A/C EQUIPMENT,2,741,104
STORE FIXTURES,1,306,21
FOOD STUFF,1,904,55
anco cheese,3,2725,110
glass door,2,525,153
oscar mayer,4,4530.87,215.56
parmesan grated,3,2435.1,130
food supplement,2,2533,104
food slicing,5,690,73
skirt,2,3245,109
casing,1,989,67
ref product,35,37380.98,1471.64
dj bABYBACK,2,3360,173
ref product,1,598,37
GENERAL CARGO,5,3029,361
GENERAL CARGO,3,2287,120
GROCERY STORE,4,6463,167
frozen seafood,3,3253,166
frozen product,8,6697,615
fresh meat,5,9444.6,251
cheese,31,30744.14,1290
cutlery plasctic,1,550,58
cheeses,35,28415.46,1240
plastic film,10,13815,455
GENERAL CARGO,2,1122,236
fresh meat,6,11961,411
avanti,3,1653,217
extract flavoting,1,86,12
cold cuts,8,6892,410
gravity roller,1,240,8
cheese ,15,23510,1100
parkay,5,6404.6,203
ref product,4,2850,231
royal oak,1,1193,570
kraft dry ,40,40653.71,1514.83
DRY GROCERY ,17,13561,1241
reefer product,2,1321,117
DRY GROCERY,24,19680,1240
cheese mozzxarella,21,40118.47,1210
margarines,4,6861.48,264.6
cookware,3,1590,250
canned foods,2,2807,93
Willcox Hose - Marinemaster,1,580,84
GENERAL CARGO,4,1395,180
ARTIFICIAL SAUSAGES,2,1444,124
SHELVING,2,1030,93
GIVAUDAN FRAGANCES,1,906,44
GENERAL CARGO,2,359,104
ICED TEA,3,3946,167
BAR,1,1824,25
roth kase,1,315,15
belgio,1,500,42
spread ,1,210,15
pita ,1,168,23
la bodeguita,5,4921,145
olive,1,715,30
JARL ,1,300,20
deli,1,329,26
GENERAL CARGO,1,410,63
yogurt,11,13600,550
traveling bags,2,718,162
filter bags,1,522,56
frozen product,9,5160,552
cill product,3,3172,147
DISPLAY ITEM,1,430,94
OSCAR MAYER,4,4716.03,243.55
PARMESAN,5,4355.35,231.16
HOME ARTICLES,1,437,97
cheese,40,41308.83,1610.16
beverages,10,20869,768
ref goods,2,2116.45,79
dry food,35,13206,1352
detergent,4,5008,219
plastic film,4,3855,136
remote units ,2,2700,404
candies,3,1930,227
CHOCOLATE,2,2320,98
plastic bags,8,4742,307
spices,2,802,48
plastic bags,6,10611,293
small kitchen,27,10164.49,1876
juice,3,6357,59
GROCERY,35,40422.88,1468.56
frozen cargo,5,6495,344
parkay products,4,4031.7,125.73
kraft parkay,5,5242,168
sour cream,2,2024.16,123
yogurt nonfat,6,4942,365
greek yogurt,7,4302,452
general articles,2,930,122
accessories ,2,903,100
GENERAL CARGO,9,3020,498
cookware,10,5050,500
trail mix,2,1450,110
fresh emat,13,2083.24,210
GENERAL CARGO,1,1327,57
small appliances,3,2055,156
lettuce,4,4000,284
WET WIPES,2,1087,72
WIPES,14,10292,874
SPONGES,1,233,23
HUMMUS,1,1056,23
WILD MAHI TILAPIA,5,2070,162
GIVAUDAN,1,955,44
FOODSTUFF,3,1643,103
TOOTHPICK,1,308,12
"POUCHES, PACKETS",18,7155,1040
BOLSAS DE MANGA,1,532,70
YOGURT,15,13830,550
DELALLO,2,1309,102
HUMMUS,1,420,20
SIMPLE GOURMET,1,110,21
LA YOGURT,5,4921,210
fresh meat,1,1525,49
cherries,5,2119,78
DRY GROCERY,19,13947,1254
detergent,1,500,75
kraft dairy,43,42365.25,1710.5
AG Dry-3,15,21084,1200
detergent-3,6,6695,320
plastic articles ,4,1000,208
miscellaneous,1,140,12
christy clothing,1,950,24
oscar mayer,4,4475.5,224.74
parmesan cheese,4,2654.77,141.22
frozen goods,13,2083,525
DRY NUTS,13,11309,722
"BAGS,PUCHES,WRAPS",15,5975,860
DRY GROCERY,11,5250,587
DRY GROCERY,9,9745,650
SHRIMP RAW,2,2436,147
PRINTER SUPPLIES,1,65,9
FOOD CLUB SAUCES,1,2488,62
SEAFOOD,1,750,62
meat,5,12150,321
baldor motor,1,120,19
AG Dry food,24,32583,1320
DETERGENT,4,1764,227
flour mix,1,1105,62
textiles,1,250,33.33
celebrity pink,3,2376,161
garbage canned,1,148,71
fresh beef,5,7579,2100
bakery foods,1,830,47
displays,1,191,76
extracts flavoring,1,938,53
lighting fixtures,1,231,68
geenral cargo,4,2700,200
GENERAL CARGO,3,1600,190
ramps,1,964,20
DRY GROCERY,4,1652,181
scale,1,500,64
buckley farms,2,3456,140
chicken flavor,3,2397,107
generalc argo,1,386,67
must have clothing,4,2644,102
kraft dairy ,30,35502,1257
lucy paris clothing,1,255,24
kraft macaroni,15,22357,932
fortune clothing,8,4273,486
east lion clothinng,4,3118,368
Timing cloths,1,566,20
joia-cloths,1,277,22
plastic ,16,8640.9,1170
towel paper,28,12874.87,2582
hbc/hba,2,1285,85
hbc/hba,4,2983,156
hbc/hba,1,855,32
hbc/hba,7,5934,350
dental supplies,1,493,26
facial srubs,2,1545,32
cleaner,4,4948,102
HAIR SUPPLY,1,1339,32
PINEAPPLE CHUNKS,1,2308,21
dry articles,1,272,45
"lipbalm,bandages,etc",1,453,21
FEMALE SUPLPIES,2,1199,60
"SOAP,HAND SANITIZER",12,8988,658
ROMAINE HEART,6,6000,573
refrigarated product,1,210,29
crates,2,662,120
pasta,1,138,58
GROCERY STORE,14,12318,1140
drive wheel ,1,150,12
frozen fish,4,4000,236
seasoning,1,570,11
hair supplies,1,138,24
la yogurt,1,4921,26
paper disk,3,1610,221
juice,18,42265,1156
candies,27,24584.5,1300
montchevre,1,651,32
cooked ham,1,1255,43
yogurt,12,13540,1200
thin and trim,1,675,41
belgioso,1,500,21
bailey,1,864,16
cheese,1,500,32
indian river,1,1475,20
juice,7,7965,410
styling supplies,4,1435,253
nuts,12,10339,502
raisins0,7,4160,345
rana pasta,3,1528,159
yo crunch,2,1485,120
rana pasta ,1,253,23
fage,2,1418,210
rana pasta,1,262,15
la bodeguita,5,4922,269
april clothing,2,1073,102
naked zebra clothing ,1,865,56
wood& medal,1,364,42.22
dade paper,2,904,138
TOWEL PAPER,26,7488,2300
haagen daz,2,1474,141
assorted goods,3,2995,171
refrigarated cargo,5,3612,313
seasoning ,2,1670,115
rice,4,5525,155
GENERAL CARGO,1,220,13
DRY GROCERY,10,10690,540
osacr mayer,4,4296.31,194.11
kraft ocar mayer,4,3017,129
kraft parmessan cheese,3,2322,124
kraft parmessan,2,1326.73,70.69
parkay,5,6228,210
parkay products,3,2695.48,86
kraft dairy,27,31347,1165
haircut kits,1,177,44
griffin paris clothing,1,363,41
transformer,1,3730,264
GENERAL CARGO,16,6730,1564
monn clothing ,1,208,33
tofu,3,3375,129
sake,1,1575,59
DRY GROCERY,5,9789.55,164
DRY GROCERY,6,7750,253
DRY GROCERY goods,4,225,156
yogurt nonfat,6,4942,410
aerosol ,1,581.25,25.89
cottage,2,2024.16,70.91
greek yogurt,7,4550.95,540
tortilla,24,19598.19,857
home articles,43,8990,1236
water treatment,1,1821,59
akaiv clothing,1,276,38
GENERAL CARGO,1,86,21
frozen pasta,3,2246,144
cutlery,3,5260,151
DRY GROCERY,1,350,53
pork and turkey flavoring,4,3655,179
leshop clothing,1,269,21
ina clothing,1,267,23
joia clothung,5,2486,337
secadora ingersoll,2,1536,138
frozen pork,13,21603,741
kraft dry ,23,23008.69,869.17
candies,6,5368,453
DRY GROCERY,56,30915,2459
DRY GROCERY,1,1836,47
COLD CUTS,2,486,113
DRY GOODS,12,3810,746
batteries,9,20651,327
DRY GROCERY,20,11415.5,863
full cirlcle orhanic product,2,410,135
cheese,30,26085.35,1200
GENERAL CARGO,5,4260,306
kraft regrigarated,33,35259,1287
paper plate ,7,5255,483
GENERAL CARGO,1,497,87
GENERAL CARGO,1,275,20
GENERAL CARGO,1,239,16
fresh meat,6,10883.7,360
meat,7,10167.7,542
DRY GROCERY,20,42045,1023
cheese,11,16480.31,985
extracts flavorinng,1,175,18
GROCERY ITEMS,27,12694.78,1200
canned foods,2,3644,88
geenrla cargo,1,465,44.44
cheese mozarella,17,33128.37,1100
cheese,25,26595.72,1240
kraft dry consolidation,24,31322,1165
plastic film,2,1792,67
ice tea,3,3769,140
,1,2018,70
"JUICE,DRESSING ",1,613.88,16
printing supplies,1,68,8
plastic articles,3,1448,66
GROCERY STORE,2,1655,67
candies,3,2594,192
baking powder,2,1840,49
"chairs,stools",4,655,288
"cloths,towels",12,8096,785
FILTER BAGS,3,2030,107
CRATE,1,570,92
steel fixtures,11,2600,600
YO BABY YOGURT,2,1661.3,65
SABRA,3,1037.6,40
LA YOGURT,4,4921.5,65
BELGIOSO,1,500,15
KEFIR,1,3001.25,20
foodstuff,16,16593,416
plastic container,16,2944,888
sugar sub ,4,2104,174
DRY GROCERY,1,1222,53
celery powder ,1,463,24.44
yogurt,11,12225,500.17
frozen duck,1,198.54,13.33
frozen food,4,5056,271
kraft  parmesan,2,1537.88,81.67
ceramic tile,1,383,12
oscar mayer,3,3490,162
icb is not butter,5,9419.64,394
parmesan cheese,5,1404.56,75
kraft dairy,30,30114.57,1123.86
frozen product,10,6254,598
DRY GROCERY,2,1160,158
extract flavoring,1,937,56
conair,5,2740,334
parkay,8,8644.5,306.43
foodstufdf,1,1693,68.88
dairy,16,17608,740
DRY GROCERY,5,2405,250
bobinas,3,4284,177
Boxes 1.0,1,177,1
Boxes 0.92,1,145,1
Boxes 0.60,1,108,1
SHOPPING CART,2,830,115
yogurt,3,1597.5,123
DAIRY PRODUCTS,1,495,36
givaudan fragancs,1,905,44
DRY GROCERY,27,20480,1316
pumpkins,42,31600,1200
,13,11793,800
,1,534,49.2
foodstuff,10,11345,500
rolls cinnamon,7,2281,322
candies,8,8172,369
CHARCOAL ,29,29598,1300
plastic articles,2,500,144
greek yogurt,7,4170.6,402
sour cream,2,2024.16,50
yogurt nonfat,6,4942,310
plastic film,18,6006,874
groceries,35,28366.83,1101.71
parts and replace,2,343,65
generalc argo,4,3670,210
GENERAL CARGO,10,9903,617
,28,24012,1200
LA YOGURT,5,4921,187
ALMOND MILK,1,768,37
CHEESE,1,500,40
BAILEYS,1,864,52
LA BODEGUITA,1,240,23
BIFE DE CHORIZO 400GR,1,40.95,1
FALSA ENTRAÑA 700GR UP,1,204.12,1
FALSA ENTRAÑA,1,42.9,1
PULPON DE VACIO 800GR,1,77.08,1
BIFE ANCHO S/T (I),1,206.23,1
PULPON DE VACIO,1,108.68,1
COLITA DE CUADRIL 1.1 A 1.2,1,14.7,1
COLITA DE CUADRIL 0.9 A 1.0,1,220.4,1
BIFE DE ANGOSTO C/C TROZADO,1,188.41,1
TAPA DE CUADRIL A 1.4KG UP,1,275.2,1
TAPA DE CUADRIL A 1.3KG UP,1,101.68,1
BIFE DE VACIO,1,377.88,1
LOMO S/C 280GR,1,121.95,1
BIFE ANCHO 400GR,1,129.98,1
BIFE ANCHO S/T,1,124.6,1
paper baking,2,380,197
yogurt ,15,12953,510.57
oscar mayer,3,3697.25,174.35
labler machinery,1,219,33
foodstuff,11,11878,600
towel paper,30,13881.6,1300
electric appliances,10,5300,753
tea,4,1002,194
kraft dairy,27,30263.62,1144.28
CAT LITTER,10,20170,689
barrier tube,1,219,24
cheese,2,1503.52,67
GENERAL CARGO,1,117,22
plastic cups,9,4922,760
soymilk,13,22152,510
GENERAL CARGO,1,118,9
parkay,4,4821.18,155.63
foodstuff,3,2338.2,115
GENERAL CARGO (I),2,776,60
GENERAL CARGO,2,325,33
GENERAL CARGO,1,265,73
dairy products,6,5005,338
FRESH MEAT,9,14671.1,560
RACKS,1,594,58
PLASTIC FILMS,2,2865,76
food supplements ,1,1624,68
foodstufff,1,1375,68
"nuts,snacks ",15,12550,900
kraft dry,28,28935,1077
printing ink,1,141,4
fresh meat,12,21867.2,410
paper towels,28,8224,1200
GENERAL CARGO,1,238,31
phones,1,198,29
TOILET PREP,2,858,120
FROZEN SEAFOOD,6,10611.67,468
PAPER FILTERS,1,445,48
FISH,7,2880,541
GENERAL CARGO,9,9558,882
CHOCOLATES,4,6458,236
wheels and industrial parts,1,180,22
FROZEN BAGELS,2,972,128
fage,2,1418,20
belgio,1,500,16
pita pal,1,168,15
land frost,1,1173,25
la yogurt,5,4921,150
hersheys and lactadaid ,2,3708,35
loknets styles,4,2300,217
organic product ,2,2286,105
oscar amyerq,2,3067.43,143.47
yogurt,13,12658,502
olives,9,9439,752
almond milk,3,3500,166.67
parmessan cheese,5,2071.37,110.37
GENERAL CARGO,2,1148,128
cheese,32,29931.96,1158.23
wet wipes,3,1584,155
"pita,garlic,deli",25,5535,1300
Pet acceosories,1,595,74
plastic film,11,18675,398
plastic film,5,4139,214
units,2,904,124
ribs,8,8505,349
labels,18,27500,1200
generalc argo,4,1365,398
hbc/hba,1,966,57
hbc/hba,2,1045,3470
hbc/hba,2,888,26
hbc/hba,1,478,70
hbc/hba,8,3395,106
hbc/hba,3,1829,112
hbc/hba,1,497,21
hbc/hba,1,95,6
hbc/hba,4,1747,133
hbc/hba,1,1790,70
hbc/hba,3,1414,75
hbc/hba,6,4973,298
hbc/hba,4,1923,234
hbc/hba,1,981,54
hbc/hba,5,3745,410
hbc/hba,15,13093,685
GENERAL CARGO,1,945,22
cottage cheese,2,2024.16,45
aerosol whipped ,1,581.25,20
yogurt nonfat,6,4942,365
greek yogurt,7,4442.4,410
tortillas,22,16952.93,1023
,1,1522,41
DRY GROCERY,13,9895,510
turkey,23,41247.13,1200
turkey,22,40281.12,1200
generalc argo,1,89,7
"pankca mix,spread,protein",1,997,43.33
grocery,28,28219.65,1014.33
miscellaneous parts,1,128,3.3
alloutte,4,2525.7,145
SAUCE,2,4132,111
bath brush and sponges,1,203,42
plastex wheels,1,973,40
plastic film,12,6755,608
cheese,25,30331.02,1125
DRY GROCERY,13,8166,410
snacks,3,2842,193
fresh meat,2,4250,124
dade paper,3,582,203
frozen fruits,8,4859,397
belgioso,1,500,25
hummus,2,887,110
yo crunch,3,1485,140
juice,5,7080,365
la yogurt,5,5034,325
GENERAL CARGO,2,907,90
frozen product,1,210,22
buckley farms,2,3456,78
yogurt,14,12680,1100
hbc/hba products,25,5116,1020
oscar mayer ,3,3272.43,146.11
PARMESAN CHEESE,2,1870.84,99.53
GENERAL CARGO,1,95,16
ceaser light,1,600,75
sponges,1,115,25
margarine,4,4393.2,149.74
caterpillar,1,7000,320
FRESH MEAT,6,9534,320
CHEESE ,25,26424.04,1032
tofu,2,3410,108
cello,2,2470.21,100
frozen 780,26,40095.4,1100
grapes,20,5550,1200
grocery,29,33772.48,1259.19
fresh meat,7,13986.5,410
cheese,17,33229.3,619.44
cheese,34,25031.12,1023
cheese,9,12852.7,485
hummus,1,1092,64
graham crunch,1,556,32
GENERAL CARGO,3,2664.3,198
seasoning,1,1185,56
GENERAL CARGO,1,2824,57
GROCERY STORE,52,36468.5,2360
GROCERY STORE,17,39954,1003
trays,10,1116,655
GENERAL CARGO,3,712,115
LIGHTERS,1,300,62
acne treatment,1,70,17
cleaners,2,2145,90
supplies,3,1681,210
"shampoo, gel",1,109,17
pasta sauce,6,8158,408
hand sanatizer,3,2612,196
"lotion,acetone",1,863,63
blam ,1,186,23
cotton swabs,4,4912,462
"baby oil,powder ",1,875,62
facial towlettes,1,356,9
GROCERY STORE,1,588,15
generalc argo,6,4463,214
plastic articles,2,812,140
grocery ,3,725.64,143
olive oil,1,715,58
belgioso,1,985,38
La Yogurt light,5,4921.5,188
indian river,1,1475,33
industrial compound,1,125,16
lighting Fixtures,1,150,26
yogurt,10,12510,540
CHEESE,34,31415,1301
PLASTIC ARTICLES,1,130,15
plastic articles,5,4250,403
reefer product,7,4401,470
oscar mayer,3,3744,180
parmesan cheese,4,1972.8,105
GROCERY STORE,32,17065,1364
towel paper,30,8672,1200
refriagareted cargo,3,2657,172
baskets,1,250,53
refrigarated product,4,2066,278
general acrgo,2,336,42
bobina seal,6,5946,260
margarine,5,4891,167
frozen fish,4,3020,214
silica,6,3838,287
yogurt non fat,6,4807,160
greek yogurt,8,4348.88,240
cottage cheese,2,1817.44,50
DRY GROCERY,38,41215,1682
hardware,2,2621,113
MARGARINE ,4,6616,268
sports play,1,548,131
GROCERY STORE ,11,20999.54,784
ROLLER CONVEYOR,1,160,14
GENERAL CARGO,1,265,42
DRY GROCERY,1,866,78
GROCERY STORE,15,12318,817.78
grocery,1,617,73
frocery,1,1440,77
extract ,1,286,15
extract flavoring,1,198,15
kefir,1,3001.25,42
ssips green tea,1,413,46
iced teas mix,2,2351,108
fage,2,1418,780
bar-s franks,1,1824,46
pla,1,240,45
yo kids,1,2244,65
la boretta,5,5034,102
delallo,2,928,40
GROCERY,1,330,37
yogurt,12,11544,878
crackers,2,1026,150
jelly snacks,4,3003,284
GROCERY STORE,10,2592,445
cheese,30,5424.64,408.83
frozen merchandise,7,5087,425
grovery store,18,41225,744
oscar mayer,4,1807.27,76.31
parmesan cheese,2,1640.3,87.47
electrical plugs,2,1563,97
artifical flavors,3,1790,135
artifial sausages,2,1284,115
foodstuff,10,10100,410
CHOCOLATES,37,19143,840
parkay,4,3751,125
surf,2,396,16
slicer ,1,128,13
GENERAL CARGO,6,4544,480
filtering ,8,7035,344
baskin robins,2,2700,354
coke and water ,10,20308.13,540
general caego,8,18944,365
plastic film,10,17426,748
plastic film,2,2298,93
GENERAL CARGO,12,13650,744
almond milk,13,22152,650
simply juice ,3,6357,193
grocery,31,31764.41,1283.02
cleaning and safe,1,135,56
trays,3,1275,263
"extracts ,flavotring",1,1262,47
fresh meat,5,8627.6,175
fresh meat,3,5125.8,198
plastic articles ,4,2523,176
onions,11,27000,410
generql cargo,1,140,53
grocery  store,13,14054,440
WATER TREATMENT,1,678,29
fme LED,2,865,95
seasoning mix,2,1350,95
RACKS,1,350,80
plastic film,1,594,38
dairy,1,771,94
dairy,1,210,31
pasta,1,109,28
yo crunch,2,1620,108
juice,5,7965,263
la yogurt,5,5034,181
geenral cargo,1,320,70
yogurt ,10,12342,950
grocery,21,9188,874
printing ink,1,228,20
cheney,2,2681,148
oscar mayer,2,2581.26,113.51
parmesan cheese,3,1761,94
CHEESE,26,26269,1029
coruander and celery,1,1009,50
artifical sausages,3,1385,160
GROCERY STORE,29,20914.5,1100
GROCERY STORE Mercahrine ,2,1355,98
electric motor,1,345,22.22
MARGARINE,4,4498,151
GENERAL CARGO,1,123,22.22
DELANTAR,1,121,15.55
greek yogurt,7,4419.75,320
ICE CREAM VANILLA LIGHT PAIL,1,2250,79.02
ICE CREAM NEAPOLITAN LIGHT PAIL,3,5670,237.07
ICE CREAM STRAWBERRY SWIRL LIGHT PAIL,3,5670,158
ICE CREAM CHOCOLATE LIGHT PAIL,1,1890,79.02
ICE CREAM VANILLA BEAN PREM SCR,2,2270,180.06
ICE CREAM STRAWBERRY PREM SCR,2,4200,180.06
ICE CREAM COOKIES & CREAM PREM SCR,2,3528,180.06
ICE CREAM CHOCOLATE PREM SCR,1,1135,90.03
ICE CREAM BEAR FOOT BROWNIE PREM SCR,2,2271,180.06
yogurt non fat,6,4912,320
cottage cheese,2,2024.16,30
foodstuff,2,2387,114
electronics,8,6237,713
alimentos ,1,150,25
celery,1,1009,44.44
grocery ,4,7464,191
artificial sausages,2,2520,120
grocery,31,43488,1437
falvors,1,1008,55
GENERAL CARGO,1,1280,24
GROCERY STORE,4,2613,212
GROCERY STORE,1,480,22
GROCERY STORE,11,7373,371
GROCERY STORE ,7,3481,278
GROCERY STORE,7,5870,280
grocery,2,1265,92
grocery,2,2374,117
GROCERY STORE,1,952.61,33.33
WILD MAHI,6,2790,231.91
juegsos club,1,846,138
Native Acai PureUnsweet FOODSERVICE,8,10548,879
yogurt,5,5034,410
SABRA HUMMUS,1,887,45
HUMMUS,2,420,30
FORMAGIO,1,733.5,35
HARDWARE ARTICLES,7,5380.9,477
GENERAL CARGO,1,234,42
oscar mayer,2,3460,162
juice,1,645.38,16
GROCERY ITEMS,6,2463,265
cheese,31,29283,1195
plastic film,5,5129,246.66
waffles,3,2574,260
yogurt,12,12580,1100
GENERAL CARGO,1,107,40
fresh meat,4,8786,277
colorante amarillo,1,2295,51.11
plastic film,3,2760,124
parkay margarine,3,3232,110
DRY GROCERY,29,30717,1245
FROZEN PRODUCTS,3,2163,116
mozz loaf,17,33024.99,619.44
greek cheese,24,19311.63,845
"provolone,cheddar,",7,10309,410
cheese,11,9449,417
fresh meat,6,8468,140
juegos ckub,1,735,62.22
batteries,1,2708,39.6
cyngusville,5,5921.62,410
jacket ,1,95,41
nuts all kinds,19,16245.18,840
grocery,3,1317,144
electrical appliances,4,1597,331
tofu,2,3476,117
assorted goods,1,250,50
home articles,4,3894,331.11
sihi pumps,2,564,46.66
GENERAL CARGO,1,378,74.44
frozen seafood,1,480,27
tea bags,5,308,46.66
frozen vegetsables,12,21886.8,1000
membrana spiral,1,660,50
yogurt,5,5034,181.11
almond milk,2,2754,103.33
cheese,1,985,55.55
cheese,26,26687,1011
GENERAL CARGO,7,4027,310
SPREAD ,15,13535,473.72
KRAFT O MAYER,2,1823,73
CHEESE,3,1386,74
PARMWESAN CHEESE,3,1089,58
ALMND MILK,3,4560,153.3
YOGURT,11,12328,741
DRY ,1,312,13.33
CHEESE,1,136.99,50
frozen ,1,1190,33.33
lamb racks,2,1170.66,38.88
LAMB WESTON,5,4261.55,287
food supplements,1,915,62.22
plastic bags ,3,1645,173.33
65,1,2015,50
juegos de club induveca,1,450,22.22
GROCERY STORE,5,5335,198
electric appliances,7,2947,482
parkay,3,2948,108
paño filtro,2,1240,85.33
transmission,1,750,21.6
paño filtro ,2,1240,71.11
